#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.010    -98.812   -118.212   -126.786    -22.034    181.637    101.476
      0.020    -99.000   -116.357   -125.730    -15.492    189.393    109.826
      0.030    -99.121   -114.424   -124.589     -8.791    197.197    118.289
      0.040    -99.175   -112.413   -123.364     -1.922    205.053    126.877
      0.050    -99.159   -110.323   -122.051      5.129    212.971    135.599
      0.060    -99.071   -108.153   -120.651     12.375    220.955    144.469
      0.070    -98.910   -105.903   -119.161     19.831    229.015    153.498
      0.080    -98.674   -103.572   -117.580     27.512    237.159    162.700
      0.090    -98.359   -101.160   -115.906     35.437    245.393    172.091
      0.100    -97.964    -98.664   -114.137     43.627    253.728    181.685
      0.110    -97.485    -96.085   -112.271     52.101    262.173    191.501
      0.120    -96.920    -93.420   -110.306     60.887    270.737    201.558
      0.130    -96.266    -90.669   -108.239     70.009    279.430    211.878
      0.140    -95.518    -87.831   -106.067     79.500    288.264    222.482
      0.150    -94.673    -84.903   -103.788     89.394    297.251    233.398
      0.160    -93.728    -81.885   -101.397     99.729    306.402    244.654
      0.170    -92.676    -78.774    -98.893    110.551    315.731    256.282
      0.180    -91.514    -75.569    -96.270    121.911    325.251    268.318
      0.190    -90.235    -72.268    -93.524    133.866    334.978    280.803
      0.200    -88.834    -68.869    -90.651    146.485    344.926    293.782
      0.210    -87.302    -65.368    -87.646    159.846    355.111    307.308
      0.220    -85.632    -61.765    -84.502    174.042    365.550    321.440
      0.230    -83.816    -58.056    -81.213    189.182    376.259    336.247
      0.240    -81.843    -54.239    -77.773    205.396    387.253    351.809
      0.250    -79.702    -50.310    -74.173    222.840    398.545    368.217
      0.260    -77.380    -46.266    -70.404    241.704    410.147    385.581
      0.270    -74.860    -42.105    -66.456    262.221    422.060    404.027
      0.280    -72.125    -37.823    -62.317    284.680    434.278    423.705
      0.290    -69.155    -33.418    -57.975    309.446    446.772    444.795
      0.300    -65.923    -28.887    -53.413    336.988    459.481    467.509
      0.310    -62.398    -24.228    -48.615    367.910    472.286    492.098
      0.320    -58.543    -19.442    -43.561    403.018    484.969    518.860
      0.330    -54.311    -14.531    -38.226    443.397    497.132    548.126
      0.340    -49.642     -9.505    -32.584    490.538    508.040    580.242
      0.350    -44.456     -4.384    -26.605    546.517    516.311    615.459
      0.360    -38.653      0.794    -20.260    614.202    519.243    653.633
      0.370    -32.096      5.947    -13.525    697.236    511.343    693.293
      0.380    -24.618     10.910     -6.414    798.365    481.296    728.860
      0.390    -16.077     15.364      0.949    909.715    409.421    743.840
      0.400     -6.583     18.858      8.227    989.179    289.437    711.687
      0.410      3.357     21.157     14.998    998.789    170.348    642.577
      0.420     13.182     22.431     21.068    966.170     84.365    571.436
      0.430     22.613     22.982     26.477    920.133     25.955    510.286
      0.440     31.576     23.039     31.325    872.383    -14.596    459.354
      0.450     40.072     22.747     35.705    826.779    -43.735    416.692
