#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.360    173.995     93.315
      0.002    -98.657   -119.642   -127.593    -28.290    174.070     93.399
      0.003    -98.685   -119.468   -127.500    -28.219    174.145     93.484
      0.004    -98.713   -119.294   -127.406    -28.148    174.219     93.569
      0.005    -98.741   -119.119   -127.313    -28.078    174.294     93.654
      0.006    -98.769   -118.945   -127.219    -28.007    174.369     93.739
      0.007    -98.797   -118.771   -127.125    -27.936    174.444     93.825
      0.008    -98.825   -118.596   -127.031    -27.865    174.519     93.910
      0.009    -98.853   -118.422   -126.937    -27.793    174.594     93.995
      0.010    -98.881   -118.247   -126.843    -27.722    174.670     94.081
      0.011    -98.908   -118.072   -126.749    -27.650    174.745     94.167
      0.012    -98.936   -117.898   -126.655    -27.578    174.820     94.252
      0.013    -98.964   -117.723   -126.561    -27.506    174.895     94.338
      0.014    -98.991   -117.548   -126.466    -27.434    174.970     94.424
      0.015    -99.018   -117.373   -126.372    -27.362    175.045     94.510
      0.016    -99.046   -117.198   -126.277    -27.289    175.121     94.596
      0.017    -99.073   -117.023   -126.183    -27.217    175.196     94.683
      0.018    -99.100   -116.847   -126.088    -27.144    175.271     94.769
      0.019    -99.127   -116.672   -125.993    -27.071    175.347     94.856
      0.020    -99.154   -116.497   -125.898    -26.998    175.422     94.942
      0.021    -99.181   -116.321   -125.803    -26.925    175.497     95.029
      0.022    -99.208   -116.146   -125.708    -26.851    175.573     95.115
      0.023    -99.235   -115.970   -125.613    -26.778    175.648     95.202
      0.024    -99.262   -115.794   -125.518    -26.704    175.724     95.289
      0.025    -99.288   -115.619   -125.423    -26.630    175.799     95.376
      0.026    -99.315   -115.443   -125.327    -26.556    175.875     95.464
      0.027    -99.342   -115.267   -125.232    -26.482    175.950     95.551
      0.028    -99.368   -115.091   -125.136    -26.408    176.026     95.638
      0.029    -99.394   -114.915   -125.040    -26.333    176.101     95.726
      0.030    -99.421   -114.739   -124.945    -26.259    176.177     95.813
      0.031    -99.447   -114.562   -124.849    -26.184    176.253     95.901
      0.032    -99.473   -114.386   -124.753    -26.109    176.328     95.989
      0.033    -99.499   -114.210   -124.657    -26.034    176.404     96.077
      0.034    -99.525   -114.033   -124.561    -25.959    176.480     96.165
      0.035    -99.551   -113.857   -124.464    -25.883    176.556     96.253
      0.036    -99.577   -113.680   -124.368    -25.808    176.631     96.341
      0.037    -99.603   -113.504   -124.272    -25.732    176.707     96.429
      0.038    -99.628   -113.327   -124.175    -25.656    176.783     96.518
      0.039    -99.654   -113.150   -124.079    -25.580    176.859     96.606
      0.040    -99.680   -112.973   -123.982    -25.503    176.935     96.695
      0.041    -99.705   -112.796   -123.885    -25.427    177.011     96.784
      0.042    -99.730   -112.619   -123.788    -25.350    177.087     96.872
      0.043    -99.756   -112.442   -123.692    -25.274    177.163     96.961
      0.044    -99.781   -112.265   -123.595    -25.197    177.239     97.050
      0.045    -99.806   -112.087   -123.497    -25.120    177.315     97.140
      0.046    -99.831   -111.910   -123.400    -25.042    177.391     97.229
      0.047    -99.856   -111.733   -123.303    -24.965    177.467     97.318
      0.048    -99.881   -111.555   -123.206    -24.887    177.543     97.408
      0.049    -99.906   -111.378   -123.108    -24.810    177.619     97.497
      0.050    -99.931   -111.200   -123.011    -24.732    177.695     97.587
      0.051    -99.955   -111.022   -122.913    -24.654    177.771     97.677
      0.052    -99.980   -110.844   -122.815    -24.575    177.847     97.767
      0.053   -100.005   -110.666   -122.717    -24.497    177.924     97.857
      0.054   -100.029   -110.489   -122.620    -24.418    178.000     97.947
      0.055   -100.053   -110.310   -122.522    -24.339    178.076     98.037
      0.056   -100.078   -110.132   -122.424    -24.260    178.152     98.127
      0.057   -100.102   -109.954   -122.325    -24.181    178.229     98.218
      0.058   -100.126   -109.776   -122.227    -24.102    178.305     98.308
      0.059   -100.150   -109.598   -122.129    -24.022    178.381     98.399
      0.060   -100.174   -109.419   -122.030    -23.943    178.458     98.490
      0.061   -100.198   -109.241   -121.932    -23.863    178.534     98.581
